Games,Year,Season,City
1896 Summer,1896,Summer,Athina
1900 Summer,1900,Summer,Paris
1904 Summer,1904,Summer,St. Louis
1908 Summer,1908,Summer,London
1912 Summer,1912,Summer,Stockholm
1920 Summer,1920,Summer,Antwerpen
1924 Summer,1924,Summer,Paris
1924 Winter,1924,Winter,Chamonix
1928 Summer,1928,Summer,Amsterdam
1932 Summer,1932,Summer,Los Angeles
1936 Summer,1936,Summer,Berlin
1948 Summer,1948,Summer,London
1952 Summer,1952,Summer,Helsinki
1956 Summer,1956,Summer,Melbourne
1960 Summer,1960,Summer,Roma
1964 Summer,1964,Summer,Tokyo
1968 Summer,1968,Summer,Mexico City
1972 Summer,1972,Summer,Munich
1976 Summer,1976,Summer,Montreal
1980 Summer,1980,Summer,Moskva
1984 Summer,1984,Summer,Los Angeles
1988 Summer,1988,Summer,Seoul
1992 Summer,1992,Summer,Barcelona
1996 Summer,1996,Summer,Atlanta
2000 Summer,2000,Summer,Sydney
2004 Summer,2004,Summer,Athina
2008 Summer,2008,Summer,Beijing
2012 Summer,2012,Summer,London
2016 Summer,2016,Summer,Rio de Janeiro

